product_key,gender,category,item_id,variant,view,filename,image_path
Men-Denim-id_00000080-01,Men,Denim,id_00000080,01,additional,MEN-Denim-id_00000080-01_7_additional.jpg,data/outfits/MEN-Denim-id_00000080-01_7_additional.webp
Men-Denim-id_00000089-01,Men,Denim,id_00000089,01,additional,MEN-Denim-id_00000089-01_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-01_7_additional.webp
Men-Denim-id_00000089-02,Men,Denim,id_00000089,02,additional,MEN-Denim-id_00000089-02_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-02_7_additional.webp
Men-Denim-id_00000089-03,Men,Denim,id_00000089,03,additional,MEN-Denim-id_00000089-03_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-03_7_additional.webp
Men-Denim-id_00000089-04,Men,Denim,id_00000089,04,additional,MEN-Denim-id_00000089-04_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-04_7_additional.webp
Men-Denim-id_00000089-05,Men,Denim,id_00000089,05,additional,MEN-Denim-id_00000089-05_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-05_7_additional.webp
Men-Denim-id_00000089-08,Men,Denim,id_00000089,08,full,MEN-Denim-id_00000089-08_4_full.jpg,data/outfits/MEN-Denim-id_00000089-08_4_full.webp
Men-Denim-id_00000089-15,Men,Denim,id_00000089,15,full,MEN-Denim-id_00000089-15_4_full.jpg,data/outfits/MEN-Denim-id_00000089-15_4_full.webp
Men-Denim-id_00000089-17,Men,Denim,id_00000089,17,full,MEN-Denim-id_00000089-17_4_full.jpg,data/outfits/MEN-Denim-id_00000089-17_4_full.webp
Men-Denim-id_00000089-18,Men,Denim,id_00000089,18,full,MEN-Denim-id_00000089-18_4_full.jpg,data/outfits/MEN-Denim-id_00000089-18_4_full.webp
Men-Denim-id_00000089-26,Men,Denim,id_00000089,26,additional,MEN-Denim-id_00000089-26_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-26_7_additional.webp
Men-Denim-id_00000089-27,Men,Denim,id_00000089,27,additional,MEN-Denim-id_00000089-27_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-27_7_additional.webp
Men-Denim-id_00000089-28,Men,Denim,id_00000089,28,front,MEN-Denim-id_00000089-28_1_front.jpg,data/outfits/MEN-Denim-id_00000089-28_1_front.webp
Men-Denim-id_00000089-29,Men,Denim,id_00000089,29,additional,MEN-Denim-id_00000089-29_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-29_7_additional.webp
Men-Denim-id_00000089-44,Men,Denim,id_00000089,44,additional,MEN-Denim-id_00000089-44_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-44_7_additional.webp
Men-Denim-id_00000089-45,Men,Denim,id_00000089,45,additional,MEN-Denim-id_00000089-45_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-45_7_additional.webp
Men-Denim-id_00000089-46,Men,Denim,id_00000089,46,additional,MEN-Denim-id_00000089-46_7_additional.jpg,data/outfits/MEN-Denim-id_00000089-46_7_additional.webp
Men-Denim-id_00000182-01,Men,Denim,id_00000182,01,additional,MEN-Denim-id_00000182-01_7_additional.jpg,data/outfits/MEN-Denim-id_00000182-01_7_additional.webp
Men-Denim-id_00000265-01,Men,Denim,id_00000265,01,front,MEN-Denim-id_00000265-01_1_front.jpg,data/outfits/MEN-Denim-id_00000265-01_1_front.webp
Men-Denim-id_00000313-01,Men,Denim,id_00000313,01,front,MEN-Denim-id_00000313-01_1_front.jpg,data/outfits/MEN-Denim-id_00000313-01_1_front.webp
Men-Denim-id_00000353-01,Men,Denim,id_00000353,01,additional,MEN-Denim-id_00000353-01_7_additional.jpg,data/outfits/MEN-Denim-id_00000353-01_7_additional.webp
Men-Denim-id_00000353-02,Men,Denim,id_00000353,02,additional,MEN-Denim-id_00000353-02_7_additional.jpg,data/outfits/MEN-Denim-id_00000353-02_7_additional.webp
Men-Denim-id_00000516-01,Men,Denim,id_00000516,01,front,MEN-Denim-id_00000516-01_1_front.jpg,data/outfits/MEN-Denim-id_00000516-01_1_front.webp
Men-Denim-id_00000565-01,Men,Denim,id_00000565,01,additional,MEN-Denim-id_00000565-01_7_additional.jpg,data/outfits/MEN-Denim-id_00000565-01_7_additional.webp
Men-Denim-id_00000750-01,Men,Denim,id_00000750,01,front,MEN-Denim-id_00000750-01_1_front.jpg,data/outfits/MEN-Denim-id_00000750-01_1_front.webp
Men-Denim-id_00000826-01,Men,Denim,id_00000826,01,front,MEN-Denim-id_00000826-01_1_front.jpg,data/outfits/MEN-Denim-id_00000826-01_1_front.webp
Men-Denim-id_00000826-02,Men,Denim,id_00000826,02,additional,MEN-Denim-id_00000826-02_7_additional.jpg,data/outfits/MEN-Denim-id_00000826-02_7_additional.webp
Men-Denim-id_00000826-03,Men,Denim,id_00000826,03,front,MEN-Denim-id_00000826-03_1_front.jpg,data/outfits/MEN-Denim-id_00000826-03_1_front.webp
Men-Denim-id_00000826-04,Men,Denim,id_00000826,04,additional,MEN-Denim-id_00000826-04_7_additional.jpg,data/outfits/MEN-Denim-id_00000826-04_7_additional.webp
Men-Denim-id_00000867-01,Men,Denim,id_00000867,01,front,MEN-Denim-id_00000867-01_1_front.jpg,data/outfits/MEN-Denim-id_00000867-01_1_front.webp
Men-Denim-id_00000938-02,Men,Denim,id_00000938,02,front,MEN-Denim-id_00000938-02_1_front.jpg,data/outfits/MEN-Denim-id_00000938-02_1_front.webp
Men-Denim-id_00000938-03,Men,Denim,id_00000938,03,additional,MEN-Denim-id_00000938-03_7_additional.jpg,data/outfits/MEN-Denim-id_00000938-03_7_additional.webp
Men-Denim-id_00000938-05,Men,Denim,id_00000938,05,front,MEN-Denim-id_00000938-05_1_front.jpg,data/outfits/MEN-Denim-id_00000938-05_1_front.webp
Men-Denim-id_00001198-01,Men,Denim,id_00001198,01,additional,MEN-Denim-id_00001198-01_7_additional.jpg,data/outfits/MEN-Denim-id_00001198-01_7_additional.webp
Men-Denim-id_00001198-02,Men,Denim,id_00001198,02,additional,MEN-Denim-id_00001198-02_7_additional.jpg,data/outfits/MEN-Denim-id_00001198-02_7_additional.webp
Men-Denim-id_00001198-03,Men,Denim,id_00001198,03,additional,MEN-Denim-id_00001198-03_7_additional.jpg,data/outfits/MEN-Denim-id_00001198-03_7_additional.webp
Men-Denim-id_00001198-04,Men,Denim,id_00001198,04,additional,MEN-Denim-id_00001198-04_7_additional.jpg,data/outfits/MEN-Denim-id_00001198-04_7_additional.webp
Men-Denim-id_00001223-01,Men,Denim,id_00001223,01,full,MEN-Denim-id_00001223-01_4_full.jpg,data/outfits/MEN-Denim-id_00001223-01_4_full.webp
Men-Denim-id_00001231-01,Men,Denim,id_00001231,01,full,MEN-Denim-id_00001231-01_4_full.jpg,data/outfits/MEN-Denim-id_00001231-01_4_full.webp
Men-Denim-id_00001952-01,Men,Denim,id_00001952,01,additional,MEN-Denim-id_00001952-01_7_additional.jpg,data/outfits/MEN-Denim-id_00001952-01_7_additional.webp
Men-Denim-id_00002243-01,Men,Denim,id_00002243,01,full,MEN-Denim-id_00002243-01_4_full.jpg,data/outfits/MEN-Denim-id_00002243-01_4_full.webp
Men-Denim-id_00002476-01,Men,Denim,id_00002476,01,front,MEN-Denim-id_00002476-01_1_front.jpg,data/outfits/MEN-Denim-id_00002476-01_1_front.webp
Men-Denim-id_00002559-01,Men,Denim,id_00002559,01,full,MEN-Denim-id_00002559-01_4_full.jpg,data/outfits/MEN-Denim-id_00002559-01_4_full.webp
Men-Denim-id_00002559-03,Men,Denim,id_00002559,03,additional,MEN-Denim-id_00002559-03_7_additional.jpg,data/outfits/MEN-Denim-id_00002559-03_7_additional.webp
Men-Denim-id_00002578-01,Men,Denim,id_00002578,01,front,MEN-Denim-id_00002578-01_1_front.jpg,data/outfits/MEN-Denim-id_00002578-01_1_front.webp
Men-Denim-id_00002707-01,Men,Denim,id_00002707,01,front,MEN-Denim-id_00002707-01_1_front.jpg,data/outfits/MEN-Denim-id_00002707-01_1_front.webp
Men-Denim-id_00002735-01,Men,Denim,id_00002735,01,front,MEN-Denim-id_00002735-01_1_front.jpg,data/outfits/MEN-Denim-id_00002735-01_1_front.webp
Men-Denim-id_00002760-01,Men,Denim,id_00002760,01,full,MEN-Denim-id_00002760-01_4_full.jpg,data/outfits/MEN-Denim-id_00002760-01_4_full.webp
Men-Denim-id_00002760-04,Men,Denim,id_00002760,04,full,MEN-Denim-id_00002760-04_4_full.jpg,data/outfits/MEN-Denim-id_00002760-04_4_full.webp
Men-Denim-id_00003074-01,Men,Denim,id_00003074,01,front,MEN-Denim-id_00003074-01_1_front.jpg,data/outfits/MEN-Denim-id_00003074-01_1_front.webp
Men-Denim-id_00003242-01,Men,Denim,id_00003242,01,additional,MEN-Denim-id_00003242-01_7_additional.jpg,data/outfits/MEN-Denim-id_00003242-01_7_additional.webp
Men-Denim-id_00003252-01,Men,Denim,id_00003252,01,front,MEN-Denim-id_00003252-01_1_front.jpg,data/outfits/MEN-Denim-id_00003252-01_1_front.webp
